Date,Room_Temp,Air_Quality,Humidity,Light_Intensity,Sound_Level
2024-11-14,22.0,16.25,53.4,390.0,45.0
2024-11-15,21.91,17.05,47.4,417.0,64.0
2024-11-16,21.55,14.51,54.3,432.0,55.0
2024-11-17,22.29,15.6,52.1,428.0,66.0
2024-11-18,23.19,14.16,47.2,461.0,20.0
2024-11-19,20.58,12.04,51.9,483.0,69.0
2024-11-20,21.37,12.31,52.1,507.0,58.0
2024-11-21,21.22,13.11,49.5,453.0,105.0
2024-11-22,21.5,13.77,48.6,460.0,28.0
2024-11-23,22.1,15.28,51.4,506.0,48.0
2024-11-24,21.75,16.51,48.8,520.0,68.0
2024-11-25,21.3,16.43,46.7,357.0,27.0
2024-11-26,21.44,13.03,51.7,457.0,13.0
2024-11-27,21.85,15.32,45.1,493.0,5.0
2024-11-28,22.58,17.96,54.5,478.0,45.0
2024-11-29,21.9,16.12,53.1,485.0,78.0
2024-11-30,22.06,16.94,51.6,423.0,49.0
2024-12-01,21.97,16.13,52.0,457.0,57.0
2024-12-02,22.87,15.94,54.4,442.0,35.0
2024-12-03,23.27,14.97,46.5,481.0,92.0
2024-12-04,22.03,12.05,47.1,461.0,72.0
2024-12-05,22.81,15.05,54.6,451.0,71.0
2024-12-06,22.38,12.25,51.8,461.0,59.0
2024-12-07,22.56,15.73,51.2,444.0,56.0
2024-12-08,22.95,12.06,54.0,370.0,44.0
2024-12-09,22.78,17.95,49.6,472.0,54.0
2024-12-10,22.58,16.72,50.9,453.0,67.0
2024-12-11,23.0,17.92,54.6,351.0,79.0
2024-12-12,21.83,14.13,50.3,448.0,84.0
2024-12-13,22.39,15.8,47.5,399.0,71.0
2024-12-14,22.74,16.0,53.6,480.0,59.0
2024-12-15,23.43,13.03,47.9,519.0,51.0
2024-12-16,21.92,16.93,51.3,527.0,88.0
2024-12-17,22.24,16.21,53.2,445.0,89.0
2024-12-18,23.25,12.23,54.5,403.0,77.0
2024-12-19,22.19,12.35,47.0,507.0,81.0
2024-12-20,22.77,17.95,53.3,461.0,58.0
2024-12-21,23.03,17.88,47.3,480.0,39.0
2024-12-22,22.14,16.39,47.0,467.0,47.0
2024-12-23,23.03,15.59,50.1,484.0,73.0
2024-12-24,22.43,16.1,48.7,443.0,93.0
2024-12-25,22.34,13.01,50.6,412.0,49.0
2024-12-26,23.54,14.1,51.7,487.0,76.0
2024-12-27,22.18,15.76,46.4,415.0,42.0
2024-12-28,23.09,17.25,51.3,448.0,51.0
2024-12-29,21.69,14.91,46.1,437.0,59.0
2024-12-30,22.69,17.49,53.3,478.0,48.0
2024-12-31,22.94,13.99,51.9,457.0,46.0
2025-01-01,24.08,12.4,50.5,447.0,37.0
2025-01-02,22.47,14.34,51.9,425.0,71.0
2025-01-03,24.36,17.45,46.3,490.0,60.0
2025-01-04,23.46,12.76,46.6,437.0,82.0
2025-01-05,22.33,16.0,48.2,430.0,51.0
2025-01-06,23.33,16.25,50.0,453.0,37.0
2025-01-07,22.58,13.34,49.0,453.0,43.0
2025-01-08,23.32,13.68,53.6,464.0,19.0
2025-01-09,22.74,14.9,47.9,495.0,91.0
2025-01-10,23.84,16.04,46.4,490.0,56.0
2025-01-11,22.64,16.44,54.3,462.0,84.0
2025-01-12,23.23,15.18,52.2,460.0,41.0
2025-01-13,22.19,13.25,53.3,423.0,23.0
2025-01-14,23.49,13.29,54.7,501.0,27.0
2025-01-15,22.72,14.15,53.4,535.0,47.0
2025-01-16,24.17,17.61,50.1,452.0,82.0
2025-01-17,22.91,17.23,50.5,431.0,73.0
2025-01-18,24.15,12.01,50.0,448.0,82.0
2025-01-19,23.09,15.58,48.3,451.0,6.0
2025-01-20,22.41,13.71,51.5,487.0,34.0
2025-01-21,23.87,16.64,46.2,453.0,27.0
2025-01-22,23.22,12.92,51.7,406.0,57.0
2025-01-23,22.52,17.7,53.9,451.0,81.0
2025-01-24,23.53,12.86,45.6,482.0,110.0
2025-01-25,22.19,15.29,54.7,468.0,58.0
2025-01-26,23.54,12.28,51.3,410.0,67.0
2025-01-27,22.54,17.15,54.2,462.0,58.0
2025-01-28,23.53,17.43,50.6,414.0,35.0
2025-01-29,22.95,13.95,53.7,374.0,78.0
2025-01-30,23.98,12.64,52.8,388.0,60.0
2025-01-31,23.05,16.41,46.4,428.0,58.0
2025-02-01,22.37,13.81,54.4,483.0,47.0
2025-02-02,23.4,13.56,49.8,472.0,15.0
2025-02-03,22.8,13.37,49.8,423.0,14.0
2025-02-04,24.37,17.62,48.9,442.0,90.0
2025-02-05,23.03,15.87,53.1,439.0,7.0
2025-02-06,22.19,12.86,54.4,516.0,80.0
2025-02-07,23.58,17.87,48.3,458.0,32.0
2025-02-08,23.15,13.12,48.0,394.0,54.0
2025-02-09,22.32,15.19,45.2,420.0,98.0
2025-02-10,23.7,12.14,45.4,413.0,36.0
2025-02-11,23.08,16.06,53.8,451.0,52.0
2025-02-12,22.08,14.16,52.3,487.0,23.0
2025-02-13,23.68,12.98,52.3,456.0,58.0
2025-02-14,22.79,16.28,52.2,419.0,48.0
2025-02-15,25.21,12.59,54.1,496.0,55.0
2025-02-16,24.56,15.18,51.0,443.0,57.0
2025-02-17,23.78,15.37,45.2,430.0,102.0
2025-02-18,23.14,15.76,52.6,457.0,86.0
2025-02-19,22.72,12.73,51.2,413.0,69.0
2025-02-20,23.74,14.12,45.8,490.0,93.0
2025-02-21,23.6,15.63,46.3,466.0,76.0
2025-02-22,23.06,14.13,45.6,502.0,63.0
2025-02-23,22.7,17.18,52.5,459.0,25.0
2025-02-24,24.61,17.81,50.5,467.0,42.0
2025-02-25,23.68,15.43,53.6,527.0,52.0
2025-02-26,22.98,16.5,46.8,413.0,105.0
2025-02-27,24.68,17.5,46.4,505.0,48.0
2025-02-28,22.99,13.31,48.0,483.0,10.0
2025-03-01,24.11,16.27,50.3,413.0,73.0
2025-03-02,23.29,12.83,49.7,411.0,28.0
2025-03-03,23.22,14.08,48.3,473.0,44.0
2025-03-04,22.07,12.88,54.8,442.0,61.0
2025-03-05,23.58,15.04,47.8,441.0,61.0
2025-03-06,22.66,16.21,47.3,548.0,40.0
2025-03-07,23.5,16.17,48.6,467.0,45.0
2025-03-08,22.41,13.3,46.6,410.0,99.0
2025-03-09,24.04,16.78,47.6,468.0,25.0
2025-03-10,23.24,16.11,48.8,375.0,41.0
2025-03-11,22.38,14.18,53.9,377.0,74.0
2025-03-12,24.48,13.11,53.3,434.0,95.0
2025-03-13,23.1,15.09,48.6,445.0,91.0
2025-03-14,22.83,12.68,45.2,493.0,74.0
2025-03-15,23.79,17.88,45.7,451.0,57.0
2025-03-16,22.51,16.48,53.1,441.0,75.0
2025-03-17,23.33,15.96,45.3,463.0,52.0
2025-03-18,22.27,14.9,47.0,519.0,38.0
2025-03-19,23.12,13.19,54.6,446.0,29.0
2025-03-20,21.6,14.27,53.5,433.0,55.0
2025-03-21,22.95,17.09,50.4,534.0,29.0
2025-03-22,23.87,15.0,49.7,463.0,59.0
2025-03-23,22.45,12.51,53.5,438.0,48.0
2025-03-24,23.05,15.81,47.5,483.0,43.0
2025-03-25,22.53,12.95,45.2,380.0,109.0
2025-03-26,23.17,16.31,53.5,395.0,100.0
2025-03-27,22.27,13.71,54.7,375.0,86.0
2025-03-28,22.52,13.53,48.1,440.0,32.0
2025-03-29,22.88,16.49,47.3,432.0,101.0
2025-03-30,23.71,15.39,49.0,506.0,56.0
2025-03-31,22.35,14.8,51.6,378.0,59.0
2025-04-01,22.87,13.31,51.2,440.0,32.0
2025-04-02,23.63,14.31,47.1,475.0,18.0
2025-04-03,22.38,14.08,48.7,429.0,12.0
2025-04-04,23.25,14.28,54.7,405.0,83.0
2025-04-05,21.95,13.37,54.7,424.0,39.0
2025-04-06,22.73,14.95,52.8,475.0,52.0
2025-04-07,23.82,17.79,47.2,427.0,59.0
2025-04-08,22.33,14.56,49.8,472.0,116.0
2025-04-09,23.47,13.74,46.2,429.0,82.0
2025-04-10,22.28,16.23,47.0,479.0,12.0
2025-04-11,22.78,13.81,53.4,497.0,88.0
2025-04-12,23.47,13.98,52.4,411.0,40.0
2025-04-13,21.71,13.51,52.5,462.0,35.0
2025-04-14,22.24,12.09,48.0,443.0,15.0
2025-04-15,23.34,13.38,47.9,477.0,44.0
2025-04-16,20.68,17.05,47.8,453.0,48.0
2025-04-17,21.55,13.05,48.2,431.0,43.0
2025-04-18,22.16,13.35,49.4,435.0,56.0
2025-04-19,22.52,13.67,50.7,482.0,34.0
2025-04-20,24.41,12.68,48.8,445.0,55.0
2025-04-21,22.42,15.73,49.1,495.0,54.0
2025-04-22,22.88,16.66,53.1,462.0,74.0
2025-04-23,22.54,14.18,46.4,404.0,74.0
2025-04-24,22.49,15.91,52.7,447.0,65.0
2025-04-25,24.0,12.44,53.2,345.0,12.0
2025-04-26,22.89,12.11,46.7,395.0,58.0
2025-04-27,22.83,14.5,53.4,454.0,28.0
2025-04-28,23.7,16.61,50.1,443.0,61.0
2025-04-29,21.13,17.59,47.7,375.0,65.0
2025-04-30,20.35,16.28,52.4,438.0,58.0
2025-05-01,20.61,14.72,54.4,474.0,94.0
2025-05-02,20.46,17.38,52.7,463.0,66.0
2025-05-03,21.0,15.81,47.5,411.0,50.0
2025-05-04,21.74,17.6,47.6,439.0,33.0
2025-05-05,21.48,14.29,54.8,443.0,56.0
2025-05-06,22.0,15.21,50.3,494.0,61.0
2025-05-07,22.28,15.31,50.1,441.0,54.0
2025-05-08,22.14,17.09,50.1,506.0,46.0
2025-05-09,22.27,13.0,51.2,445.0,45.0
2025-05-10,22.59,14.3,49.7,447.0,43.0
2025-05-11,22.87,14.21,49.4,388.0,54.0
2025-05-12,21.96,12.51,54.9,485.0,37.0
2025-05-13,21.63,15.99,47.8,385.0,54.0
2025-05-14,21.09,12.84,49.6,477.0,62.0
2025-05-15,21.55,16.21,47.3,487.0,62.0
2025-05-16,21.26,12.02,50.5,440.0,46.0
2025-05-17,20.57,12.47,50.7,416.0,59.0
2025-05-18,20.93,14.68,47.5,533.0,71.0
2025-05-19,21.06,12.17,51.8,464.0,17.0
2025-05-20,20.84,14.31,47.2,489.0,50.0
2025-05-21,20.53,15.79,48.4,451.0,10.0
2025-05-22,20.71,13.86,46.1,519.0,26.0
2025-05-23,20.15,12.42,48.7,404.0,51.0
2025-05-24,19.36,14.78,54.5,521.0,49.0
2025-05-25,21.75,16.69,51.9,431.0,35.0
2025-05-26,21.87,17.84,47.7,528.0,53.0
2025-05-27,20.95,16.75,50.1,447.0,38.0
2025-05-28,20.3,14.24,45.5,399.0,37.0
2025-05-29,20.45,15.67,47.8,402.0,73.0
2025-05-30,19.48,14.55,54.1,415.0,70.0
2025-05-31,22.11,13.14,50.0,479.0,59.0
2025-06-01,21.5,14.72,47.1,388.0,47.0
2025-06-02,21.06,15.31,53.9,457.0,77.0
2025-06-03,20.09,17.72,46.1,451.0,32.0
2025-06-04,19.92,15.16,50.0,449.0,80.0
2025-06-05,21.67,13.42,45.3,410.0,63.0
2025-06-06,20.85,13.67,54.5,444.0,72.0
2025-06-07,19.99,15.84,45.8,440.0,44.0
2025-06-08,21.43,12.35,45.7,489.0,48.0
2025-06-09,20.74,13.56,45.5,392.0,55.0
2025-06-10,19.83,15.82,45.7,409.0,57.0
2025-06-11,20.91,13.73,52.2,424.0,38.0
2025-06-12,19.46,15.36,54.3,414.0,63.0
2025-06-13,20.92,12.06,48.0,422.0,87.0
2025-06-14,19.75,17.01,46.7,411.0,52.0
2025-06-15,21.34,16.68,46.9,467.0,41.0
2025-06-16,20.38,14.94,46.3,424.0,79.0
2025-06-17,19.83,13.32,48.4,461.0,53.0
2025-06-18,21.52,17.65,45.2,405.0,67.0
2025-06-19,20.7,13.39,53.3,437.0,52.0
2025-06-20,20.28,16.89,53.7,472.0,34.0
