Date,Room_Temp,Air_Quality,Humidity,Light_Intensity,Sound_Level
2024-11-14,23.0,12.01,41.3,732.0,67.0
2024-11-15,23.1,14.72,49.4,721.0,40.0
2024-11-16,22.58,13.16,42.7,699.0,28.0
2024-11-17,22.12,11.49,46.6,646.0,42.0
2024-11-18,22.01,12.39,41.4,627.0,90.0
2024-11-19,23.0,12.33,44.5,727.0,54.0
2024-11-20,23.12,14.26,45.7,676.0,61.0
2024-11-21,23.14,13.55,46.9,677.0,47.0
2024-11-22,23.69,14.33,44.7,724.0,71.0
2024-11-23,23.81,12.44,42.8,743.0,37.0
2024-11-24,23.46,13.68,49.6,715.0,30.0
2024-11-25,23.24,10.49,42.0,709.0,52.0
2024-11-26,23.3,13.07,42.4,651.0,39.0
2024-11-27,23.26,11.79,40.5,684.0,79.0
2024-11-28,24.25,13.09,44.1,582.0,28.0
2024-11-29,22.2,12.32,48.5,647.0,81.0
2024-11-30,23.58,14.74,43.5,616.0,50.0
2024-12-01,23.54,12.92,40.2,642.0,66.0
2024-12-02,23.57,10.75,46.4,653.0,-16.0
2024-12-03,23.85,12.31,48.7,730.0,36.0
2024-12-04,24.37,13.31,47.7,615.0,85.0
2024-12-05,22.47,10.17,47.0,743.0,9.0
2024-12-06,23.25,10.89,49.5,633.0,43.0
2024-12-07,23.69,10.52,44.0,634.0,87.0
2024-12-08,23.4,13.39,45.5,640.0,14.0
2024-12-09,24.04,10.6,43.7,644.0,112.0
2024-12-10,22.44,10.68,47.3,722.0,45.0
2024-12-11,23.05,12.59,48.7,632.0,56.0
2024-12-12,23.63,12.07,49.1,712.0,50.0
2024-12-13,24.21,11.98,45.1,642.0,112.0
2024-12-14,23.0,11.13,44.0,691.0,80.0
2024-12-15,23.41,14.77,47.9,671.0,94.0
2024-12-16,24.35,12.49,48.5,605.0,20.0
2024-12-17,23.09,14.35,49.8,620.0,57.0
2024-12-18,24.1,13.32,40.2,637.0,40.0
2024-12-19,23.16,14.42,43.6,680.0,65.0
2024-12-20,23.46,13.77,42.8,584.0,57.0
2024-12-21,24.87,11.96,43.9,719.0,44.0
2024-12-22,23.04,11.26,41.0,608.0,62.0
2024-12-23,24.06,13.66,46.5,717.0,80.0
2024-12-24,22.35,14.11,49.5,709.0,66.0
2024-12-25,22.81,12.88,41.5,671.0,76.0
2024-12-26,24.45,13.73,47.5,725.0,76.0
2024-12-27,23.3,10.48,42.6,702.0,61.0
2024-12-28,24.17,13.83,49.0,638.0,72.0
2024-12-29,23.21,10.96,42.4,701.0,69.0
2024-12-30,23.89,10.53,47.3,595.0,38.0
2024-12-31,24.33,12.52,43.4,729.0,8.0
2025-01-01,23.06,12.6,43.2,710.0,-1.0
2025-01-02,23.63,14.05,44.2,700.0,61.0
2025-01-03,25.3,10.79,41.4,682.0,50.0
2025-01-04,23.74,13.6,42.8,722.0,66.0
2025-01-05,24.83,14.68,40.3,680.0,82.0
2025-01-06,23.55,11.78,49.3,692.0,62.0
2025-01-07,24.59,14.28,47.3,679.0,78.0
2025-01-08,22.95,14.41,43.1,650.0,26.0
2025-01-09,24.44,14.54,49.7,660.0,35.0
2025-01-10,24.22,13.21,45.4,631.0,80.0
2025-01-11,23.24,10.95,48.9,735.0,-2.0
2025-01-12,24.11,10.17,46.9,736.0,73.0
2025-01-13,23.98,11.02,48.6,651.0,56.0
2025-01-14,25.76,10.99,49.8,561.0,111.0
2025-01-15,23.87,13.81,46.1,731.0,46.0
2025-01-16,25.62,13.37,45.5,728.0,97.0
2025-01-17,25.08,12.68,44.6,691.0,70.0
2025-01-18,24.41,13.65,40.3,747.0,35.0
2025-01-19,23.48,14.48,44.7,732.0,58.0
2025-01-20,24.19,12.83,47.1,588.0,88.0
2025-01-21,23.94,11.03,42.0,692.0,21.0
2025-01-22,26.0,10.08,43.6,634.0,56.0
2025-01-23,25.15,13.04,44.1,729.0,99.0
2025-01-24,24.34,10.89,45.0,674.0,71.0
2025-01-25,24.25,12.81,49.8,642.0,100.0
2025-01-26,23.52,11.26,46.9,720.0,43.0
2025-01-27,26.28,14.46,47.9,615.0,116.0
2025-01-28,25.05,11.71,42.5,724.0,64.0
2025-01-29,24.83,10.28,43.5,645.0,37.0
2025-01-30,24.4,12.02,44.0,620.0,54.0
2025-01-31,23.27,10.54,42.6,711.0,68.0
2025-02-01,24.55,10.47,45.2,558.0,63.0
2025-02-02,23.55,11.11,40.1,664.0,54.0
