Date,Room_Temp,Air_Quality,Humidity,Light_Intensity,Sound_Level
2024-11-14,20.0,6.52,61.8,119.0,54.0
2024-11-15,20.68,6.67,62.7,80.0,57.0
2024-11-16,18.56,5.8,64.7,154.0,81.0
2024-11-17,19.15,7.86,61.3,119.0,24.0
2024-11-18,19.56,6.41,63.0,110.0,11.0
2024-11-19,20.87,5.36,61.5,109.0,12.0
2024-11-20,18.93,7.58,64.8,152.0,2.0
2024-11-21,19.66,5.11,60.4,99.0,56.0
2024-11-22,20.33,7.69,62.1,157.0,33.0
2024-11-23,18.57,7.72,63.4,140.0,21.0
2024-11-24,18.94,5.99,63.7,131.0,57.0
2024-11-25,20.01,6.78,60.8,152.0,37.0
2024-11-26,18.99,7.05,63.7,139.0,38.0
2024-11-27,20.11,5.99,63.0,123.0,49.0
2024-11-28,18.98,6.59,61.4,123.0,28.0
2024-11-29,19.84,6.75,61.3,146.0,41.0
2024-11-30,21.01,5.19,62.5,116.0,27.0
2024-12-01,19.16,6.43,62.4,117.0,53.0
2024-12-02,19.8,5.78,63.0,128.0,27.0
2024-12-03,20.53,6.11,63.4,162.0,34.0
2024-12-04,18.52,5.08,62.7,127.0,27.0
2024-12-05,19.28,7.86,60.4,74.0,-14.0
2024-12-06,20.04,6.26,63.8,159.0,65.0
2024-12-07,19.64,6.53,62.1,78.0,24.0
2024-12-08,20.08,6.21,64.2,128.0,45.0
2024-12-09,18.66,7.71,63.5,137.0,45.0
2024-12-10,20.39,7.28,60.5,119.0,38.0
2024-12-11,19.03,6.86,63.1,157.0,35.0
2024-12-12,19.73,7.6,63.5,130.0,51.0
2024-12-13,21.03,6.57,64.1,90.0,38.0
2024-12-14,19.88,6.78,61.2,160.0,37.0
2024-12-15,21.17,6.25,65.0,83.0,28.0
2024-12-16,19.66,5.72,61.9,120.0,53.0
2024-12-17,21.49,6.17,60.6,138.0,46.0
2024-12-18,20.63,6.57,63.9,121.0,84.0
2024-12-19,19.66,6.34,63.5,174.0,49.0
2024-12-20,21.7,7.74,60.5,93.0,47.0
2024-12-21,20.12,6.97,60.1,211.0,55.0
2024-12-22,19.28,7.27,64.4,120.0,46.0
2024-12-23,21.04,5.06,60.2,126.0,48.0
2024-12-24,20.17,5.84,61.8,84.0,19.0
2024-12-25,18.73,5.7,63.5,138.0,33.0
2024-12-26,20.17,7.07,61.5,145.0,49.0
2024-12-27,19.31,7.78,62.7,125.0,67.0
2024-12-28,20.88,7.65,64.9,124.0,41.0
2024-12-29,20.97,6.5,62.0,145.0,59.0
2024-12-30,20.15,6.63,61.5,102.0,20.0
2024-12-31,19.65,5.54,60.3,130.0,51.0
2025-01-01,20.76,5.29,60.9,150.0,53.0
2025-01-02,20.34,5.38,61.1,95.0,42.0
2025-01-03,19.48,7.57,62.0,179.0,11.0
2025-01-04,21.46,6.4,64.6,82.0,13.0
2025-01-05,20.46,6.97,60.2,155.0,45.0
2025-01-06,19.92,5.34,63.6,157.0,28.0
2025-01-07,21.1,6.17,63.3,114.0,46.0
2025-01-08,20.98,5.59,64.5,108.0,50.0
2025-01-09,21.33,6.76,60.0,96.0,76.0
2025-01-10,20.57,6.77,63.1,110.0,63.0
2025-01-11,20.63,5.58,64.5,81.0,10.0
2025-01-12,20.36,5.07,64.3,129.0,27.0
2025-01-13,19.96,5.28,61.7,133.0,33.0
2025-01-14,20.97,7.95,61.6,111.0,32.0
2025-01-15,20.93,7.83,63.4,103.0,19.0
2025-01-16,20.26,5.31,62.9,184.0,54.0
2025-01-17,19.65,6.19,61.1,140.0,73.0
2025-01-18,21.1,7.59,63.1,133.0,63.0
2025-01-19,20.74,7.55,62.7,94.0,10.0
2025-01-20,19.83,6.42,63.8,97.0,25.0
2025-01-21,22.18,7.99,60.2,134.0,85.0
2025-01-22,21.76,5.97,61.0,119.0,54.0
2025-01-23,21.06,5.74,62.8,111.0,55.0
2025-01-24,20.03,7.33,63.4,127.0,42.0
2025-01-25,19.96,7.78,60.0,156.0,12.0
2025-01-26,22.03,6.53,64.9,76.0,34.0
2025-01-27,21.02,6.72,65.0,96.0,34.0
2025-01-28,20.98,7.88,61.2,126.0,26.0
2025-01-29,21.1,7.21,63.2,60.0,49.0
2025-01-30,20.99,5.89,63.4,93.0,88.0
2025-01-31,20.82,6.27,61.7,123.0,55.0
2025-02-01,20.53,5.42,61.0,106.0,34.0
2025-02-02,20.67,7.36,62.7,103.0,32.0
2025-02-03,20.68,7.01,63.6,128.0,57.0
2025-02-04,21.05,6.64,62.9,131.0,40.0
2025-02-05,20.49,6.2,61.4,124.0,51.0
2025-02-06,20.78,5.79,63.2,91.0,46.0
2025-02-07,20.58,6.38,64.9,81.0,51.0
2025-02-08,20.87,5.05,61.8,119.0,32.0
2025-02-09,20.61,6.34,61.3,110.0,29.0
2025-02-10,19.95,6.62,61.8,121.0,47.0
2025-02-11,21.47,6.8,63.6,157.0,29.0
2025-02-12,21.45,7.42,62.3,175.0,54.0
2025-02-13,21.55,6.38,64.6,95.0,32.0
2025-02-14,20.61,7.44,62.0,143.0,48.0
2025-02-15,20.1,6.29,60.6,103.0,1.0
2025-02-16,19.94,7.57,63.8,172.0,66.0
2025-02-17,22.43,5.27,60.1,93.0,32.0
2025-02-18,21.35,5.18,64.4,110.0,38.0
2025-02-19,21.2,6.21,62.7,145.0,86.0
2025-02-20,21.25,6.82,61.5,116.0,68.0
2025-02-21,20.96,6.26,61.4,151.0,46.0
2025-02-22,20.43,7.15,60.6,218.0,22.0
2025-02-23,20.77,7.06,60.9,145.0,36.0
2025-02-24,20.74,6.13,60.4,133.0,35.0
2025-02-25,20.0,7.52,61.2,111.0,50.0
2025-02-26,20.47,6.0,64.4,115.0,44.0
2025-02-27,20.13,7.64,64.8,126.0,34.0
2025-02-28,20.03,5.81,60.8,142.0,31.0
2025-03-01,19.41,5.47,60.5,129.0,25.0
2025-03-02,20.86,7.51,62.1,117.0,55.0
2025-03-03,20.42,6.25,63.1,121.0,50.0
2025-03-04,20.85,5.13,60.2,153.0,15.0
2025-03-05,20.6,7.2,60.6,127.0,41.0
2025-03-06,20.11,7.87,60.4,132.0,63.0
2025-03-07,21.16,6.21,60.5,120.0,37.0
2025-03-08,20.26,5.38,62.5,150.0,44.0
2025-03-09,20.21,6.02,64.9,103.0,45.0
2025-03-10,19.8,7.34,61.5,128.0,31.0
2025-03-11,21.98,6.47,63.5,99.0,49.0
2025-03-12,21.4,7.9,63.0,131.0,32.0
2025-03-13,21.25,7.39,64.6,168.0,49.0
2025-03-14,20.16,6.19,61.5,132.0,69.0
2025-03-15,20.18,6.09,61.5,111.0,23.0
2025-03-16,20.63,5.98,61.8,121.0,43.0
2025-03-17,21.03,7.06,63.7,170.0,72.0
2025-03-18,21.17,5.73,61.8,152.0,53.0
2025-03-19,20.31,6.52,64.6,105.0,40.0
2025-03-20,20.04,6.53,61.9,157.0,-13.0
2025-03-21,19.49,7.96,60.9,91.0,87.0
2025-03-22,20.83,5.01,62.5,153.0,16.0
2025-03-23,20.03,5.09,62.8,137.0,30.0
2025-03-24,19.52,5.64,64.6,114.0,51.0
2025-03-25,21.49,7.38,61.1,158.0,69.0
2025-03-26,20.48,5.03,63.0,125.0,3.0
2025-03-27,19.98,7.53,62.5,142.0,61.0
2025-03-28,21.72,6.11,63.9,105.0,59.0
2025-03-29,20.98,6.73,64.7,119.0,25.0
2025-03-30,20.36,7.29,60.3,107.0,65.0
2025-03-31,19.63,5.27,63.4,93.0,13.0
2025-04-01,20.7,5.21,61.9,117.0,48.0
2025-04-02,19.99,6.07,64.1,102.0,50.0
2025-04-03,21.92,5.88,64.8,65.0,47.0
2025-04-04,20.87,7.1,63.9,133.0,68.0
2025-04-05,20.02,6.8,63.7,110.0,37.0
2025-04-06,19.55,7.9,60.2,151.0,54.0
2025-04-07,21.36,6.57,64.7,155.0,53.0
2025-04-08,20.29,6.75,60.0,84.0,32.0
2025-04-09,19.66,6.83,61.4,133.0,23.0
2025-04-10,21.45,6.71,60.3,111.0,32.0
2025-04-11,21.0,6.87,63.2,100.0,47.0
2025-04-12,20.17,7.96,62.6,124.0,47.0
2025-04-13,19.5,7.86,62.8,92.0,24.0
2025-04-14,20.08,5.17,62.4,64.0,30.0
2025-04-15,19.16,6.2,63.5,139.0,76.0
2025-04-16,20.91,6.88,63.0,179.0,22.0
2025-04-17,20.41,7.58,61.8,84.0,44.0
2025-04-18,20.04,6.43,61.2,98.0,23.0
2025-04-19,18.92,7.36,60.6,137.0,6.0
2025-04-20,19.61,7.88,60.0,138.0,32.0
2025-04-21,20.97,7.68,61.7,143.0,33.0
2025-04-22,19.48,6.7,64.8,160.0,65.0
2025-04-23,21.05,7.47,62.4,146.0,41.0
2025-04-24,20.02,6.49,63.5,91.0,36.0
2025-04-25,19.3,7.54,60.8,105.0,45.0
2025-04-26,20.35,7.52,62.6,174.0,48.0
2025-04-27,18.36,7.26,63.3,107.0,32.0
2025-04-28,19.61,6.39,63.6,102.0,7.0
2025-04-29,20.32,6.44,61.5,105.0,64.0
2025-04-30,18.71,5.55,63.1,129.0,2.0
2025-05-01,20.01,7.45,60.8,112.0,85.0
2025-05-02,18.06,7.33,60.7,135.0,56.0
2025-05-03,18.62,6.61,63.5,125.0,40.0
2025-05-04,19.03,5.87,63.3,107.0,50.0
2025-05-05,19.79,7.95,61.7,119.0,54.0
2025-05-06,20.25,7.5,63.8,135.0,74.0
2025-05-07,18.37,5.96,63.9,143.0,28.0
2025-05-08,19.14,7.81,60.3,96.0,42.0
2025-05-09,19.26,6.93,64.1,98.0,22.0
2025-05-10,18.99,5.53,63.0,127.0,75.0
2025-05-11,19.9,5.0,60.5,160.0,35.0
2025-05-12,19.81,5.42,60.9,88.0,53.0
2025-05-13,20.96,7.46,62.5,52.0,7.0
2025-05-14,19.09,6.81,60.8,196.0,51.0
2025-05-15,19.46,6.26,60.7,98.0,49.0
2025-05-16,19.2,7.49,61.9,144.0,13.0
2025-05-17,19.73,5.03,60.5,143.0,23.0
2025-05-18,20.13,7.77,62.1,129.0,35.0
2025-05-19,17.98,7.5,64.1,88.0,44.0
2025-05-20,20.2,7.97,63.5,136.0,15.0
2025-05-21,18.48,5.0,64.9,128.0,29.0
2025-05-22,18.73,5.07,64.9,152.0,37.0
2025-05-23,19.32,6.73,60.3,139.0,66.0
2025-05-24,19.48,6.37,63.8,106.0,72.0
2025-05-25,19.89,7.41,61.1,96.0,45.0
2025-05-26,19.89,6.76,63.3,143.0,34.0
2025-05-27,19.4,5.21,60.6,150.0,54.0
2025-05-28,19.24,6.95,60.8,122.0,74.0
2025-05-29,19.28,6.17,63.5,102.0,22.0
2025-05-30,19.62,6.7,64.6,141.0,34.0
2025-05-31,19.09,7.06,63.0,138.0,11.0
2025-06-01,19.03,6.27,60.1,134.0,33.0
2025-06-02,19.61,5.62,63.0,99.0,62.0
2025-06-03,19.58,7.54,62.8,167.0,42.0
2025-06-04,20.03,7.37,62.7,137.0,41.0
2025-06-05,17.26,7.73,60.4,103.0,57.0
2025-06-06,18.81,6.86,64.7,149.0,44.0
2025-06-07,19.24,7.04,64.1,160.0,45.0
2025-06-08,19.61,6.74,63.6,150.0,38.0
2025-06-09,19.37,6.34,60.3,76.0,33.0
2025-06-10,19.12,7.24,62.6,99.0,62.0
2025-06-11,18.16,5.77,64.5,82.0,58.0
2025-06-12,17.5,6.43,63.9,120.0,81.0
2025-06-13,20.19,5.41,64.5,102.0,49.0
2025-06-14,17.65,5.73,64.9,68.0,50.0
2025-06-15,19.84,5.02,64.3,136.0,42.0
2025-06-16,19.53,7.25,60.8,142.0,30.0
2025-06-17,18.69,6.13,61.5,163.0,51.0
2025-06-18,18.37,6.73,64.0,76.0,54.0
2025-06-19,17.5,6.65,62.0,73.0,31.0
2025-06-20,19.27,5.95,61.2,130.0,44.0
2025-06-21,18.71,6.59,63.9,124.0,48.0
2025-06-22,18.63,6.78,62.7,160.0,48.0
2025-06-23,18.13,6.15,63.6,102.0,15.0
2025-06-24,17.34,5.27,62.4,121.0,50.0
2025-06-25,18.87,5.32,62.9,154.0,50.0
2025-06-26,17.96,7.97,60.5,159.0,59.0
2025-06-27,19.17,6.22,63.2,109.0,56.0
2025-06-28,18.61,6.23,64.7,161.0,20.0
2025-06-29,17.76,7.22,62.4,159.0,44.0
2025-06-30,19.19,6.59,62.2,99.0,10.0
2025-07-01,18.18,5.68,61.8,82.0,43.0
2025-07-02,17.47,5.59,62.5,64.0,64.0
2025-07-03,19.03,7.93,64.8,130.0,15.0
2025-07-04,18.4,6.5,61.6,147.0,42.0
2025-07-05,17.48,7.18,64.4,116.0,37.0
2025-07-06,19.03,5.03,62.2,158.0,42.0
2025-07-07,18.3,5.79,62.9,132.0,25.0
2025-07-08,17.3,7.83,62.2,138.0,39.0
2025-07-09,18.3,5.98,60.2,99.0,69.0
2025-07-10,17.46,6.17,60.1,195.0,88.0
2025-07-11,18.63,7.17,63.5,115.0,66.0
2025-07-12,17.44,6.13,61.6,143.0,99.0
2025-07-13,18.16,6.9,60.8,117.0,18.0
2025-07-14,17.31,6.06,64.7,81.0,71.0
2025-07-15,18.18,7.97,63.8,106.0,41.0
2025-07-16,17.42,7.94,60.4,191.0,29.0
2025-07-17,18.27,7.6,63.7,132.0,-0.0
2025-07-18,17.09,7.9,64.4,89.0,76.0
2025-07-19,18.04,5.88,62.7,138.0,77.0
2025-07-20,16.92,5.95,63.5,157.0,50.0
2025-07-21,17.94,6.47,61.5,121.0,20.0
2025-07-22,19.34,5.4,63.9,137.0,40.0
2025-07-23,17.9,7.91,61.8,124.0,20.0
2025-07-24,18.89,5.05,63.1,144.0,54.0
2025-07-25,17.81,5.07,61.4,105.0,53.0
2025-07-26,19.26,7.8,60.8,145.0,19.0
2025-07-27,17.67,6.06,62.1,62.0,36.0
2025-07-28,18.93,7.94,63.5,122.0,37.0
2025-07-29,17.38,5.65,63.4,105.0,-4.0
2025-07-30,17.77,7.02,61.9,48.0,17.0
2025-07-31,18.4,6.05,64.2,87.0,55.0
2025-08-01,16.95,7.56,63.8,128.0,16.0
2025-08-02,17.84,6.45,60.2,117.0,70.0
2025-08-03,18.52,5.39,60.2,141.0,61.0
2025-08-04,17.99,6.48,60.4,127.0,33.0
2025-08-05,19.01,6.36,62.7,146.0,44.0
2025-08-06,17.2,5.35,62.7,126.0,26.0
2025-08-07,18.07,6.2,63.6,158.0,55.0
2025-08-08,17.59,7.05,62.9,147.0,33.0
2025-08-09,19.24,7.89,61.9,139.0,48.0
2025-08-10,17.61,6.57,60.8,141.0,26.0
2025-08-11,17.71,6.42,63.7,132.0,59.0
